Date,Open,High,Low,Close,Adj Close,Volume
2013-08-29,346.5,354.899994,340.575012,352.424988,310.147339,154040
2013-08-30,353,356,348,351.200012,309.069305,86734
2013-09-02,351.75,362,351.75,358.600006,315.581573,186522
2013-09-03,362,367.5,362,364.875,321.103821,209070
2013-09-04,364.975006,377,364.975006,374.25,329.354187,436762
2013-09-05,376.950012,379.850006,371.125,375,330.01416,187876
2013-09-06,370,377.475006,365,366.299988,322.357819,101616
2013-09-10,369,371.950012,366.024994,369.299988,324.997955,133708
2013-09-11,377.5,384.5,370.125,372.399994,327.726105,342712
2013-09-12,372.5,377.950012,370.5,373.125,328.364136,242338
2013-09-13,375,375.5,368.149994,371.475006,326.912048,74546
2013-09-16,373,374.5,365,366.149994,322.225891,139772
2013-09-17,366.149994,369,360,361.725006,318.331696,59046
2013-09-18,364.850006,378.75,363.524994,376.325012,331.180267,300266
2013-09-19,380,389.5,376.125,382.325012,336.46048,509846
2013-09-20,380,385.700012,375.024994,380.075012,334.480408,179114
2013-09-23,373.5,378.5,370.125,372.850006,328.122131,71436
2013-09-24,374.850006,382,372.5,375.825012,330.740234,208534
2013-09-25,375.5,379.5,374,376.399994,331.246246,191164
2013-09-26,376.5,380.5,375.649994,379.225006,333.73233,434022
2013-09-27,377.5,391.950012,377.5,388.274994,341.696716,432920
2013-09-30,388.850006,418.5,388.850006,411,361.695587,601698
2013-10-01,415.649994,434,411,417.049988,367.019775,721590
2013-10-03,419.850006,421.5,411,411.924988,362.509583,202084
2013-10-04,412.825012,420,411.924988,416.350006,366.403748,214374
2013-10-07,417.5,426,411.125,422.799988,372.079956,292866
2013-10-08,427,437,424,431.475006,379.714325,337170
2013-10-09,433,440.899994,432.5,435.649994,383.388519,230588
2013-10-10,434,437.5,427.5,428.524994,377.118164,83178
2013-10-11,429,433.674988,424.5,425.924988,374.830109,248622
2013-10-14,422.5,437.950012,422.5,433.475006,381.474426,185944
2013-10-15,437.375,437.375,420,420.850006,370.363892,67020
2013-10-17,417.75,421.899994,415,418.625,368.405884,205276
2013-10-18,422.325012,436.149994,419.774994,432.225006,380.37439,130162
2013-10-21,432.225006,438.75,432,433.825012,381.78244,116082
2013-10-22,437.475006,440.5,432.5,437.799988,385.280579,91186
2013-10-23,440.899994,469,439.5,458.424988,403.431335,416324
2013-10-24,460,485.75,458.450012,463.424988,407.831543,491538
2013-10-25,460.5,477.450012,458.299988,464.5,408.777588,217310
2013-10-28,461.25,469.25,452,460.399994,405.169434,224622
2013-10-29,455,471.450012,452.024994,464.649994,408.909576,188476
2013-10-30,465,477.024994,465,472.350006,415.685913,171634
2013-10-31,473,479.5,465,469.774994,413.419769,158216
2013-11-01,471.149994,478.799988,467.5,469.975006,413.595764,132850
2013-11-05,472.549988,475,465,466.274994,410.339661,70524
2013-11-06,465.5,481.450012,465.5,472.100006,415.46582,152880
2013-11-07,472.049988,475.700012,464.225006,468,411.857727,63876
2013-11-08,468.25,471.200012,458.5,459.924988,404.751373,88306
2013-11-11,462.825012,482.5,433.299988,437.799988,385.280579,593196
2013-11-12,465.350006,473.950012,445,452.174988,397.931122,890924
2013-11-13,454.450012,461.75,442.049988,444.5,391.176849,278422
2013-11-14,447.100006,455,446.649994,449.075012,395.203003,94908
2013-11-18,447.600006,454.149994,445,447.524994,393.838898,102510
2013-11-19,447.5,451.100006,444.549988,448.100006,394.344971,118410
2013-11-20,450,451.424988,446.5,447.649994,393.948944,87126
2013-11-21,446.5,461.225006,436.524994,439.350006,386.644623,334470
2013-11-22,442.625,446.149994,434.75,436.725006,384.334503,162586
2013-11-25,435.5,442.75,435.5,439.475006,386.754639,144976
2013-11-26,442.475006,453.25,440,444.399994,391.088806,271814
2013-11-27,442.125,447.950012,435,437.424988,384.950592,67070
2013-11-28,441.350006,442,436.174988,438.325012,385.742645,102420
2013-11-29,441,448.799988,437,438.25,385.676636,115108
2013-12-02,441,460,440,450.024994,396.039063,326942
2013-12-03,449.350006,463.75,446.524994,452.575012,398.283142,235476
2013-12-04,452.399994,456,444.024994,444.774994,391.418854,98826
2013-12-05,449,451.950012,439.125,439.899994,387.128632,106558
2013-12-06,438.625,443.75,432.625,433.725006,381.694458,103914
2013-12-09,439.950012,439.950012,427.024994,434.774994,382.618469,224690
2013-12-10,437.5,441.5,432.5,434.274994,382.178406,146468
2013-12-11,434.475006,448,429.725006,444.625,391.286804,134018
2013-12-12,442.125,448.5,436.299988,440.024994,387.238617,259570
2013-12-13,439,446.350006,436.5,444.875,391.506805,114248
2013-12-16,440.299988,448.100006,437.625,439.875,387.106628,101764
2013-12-17,442.950012,445.975006,437.5,443.799988,390.560791,83782
2013-12-18,443.274994,446.850006,439.25,443.024994,389.878754,74966
2013-12-19,442.5,443.975006,436.575012,438.225006,385.654541,50494
2013-12-20,438.225006,452,436.649994,446.850006,393.244965,235362
2013-12-23,450.350006,452,440.549988,442.274994,389.218719,101094
2013-12-24,438.899994,455,438.899994,453.049988,398.701141,100700
2013-12-26,456.475006,457.75,448.149994,453.850006,399.405212,181250
2013-12-27,450.600006,460,450.600006,457.825012,402.90332,127504
2013-12-30,460.5,469,457.524994,459.274994,404.179413,193780
2013-12-31,462,465,458,460.299988,405.08139,63112
2014-01-01,457.600006,466.5,457.600006,459.225006,404.135406,75038
2014-01-02,456.5,462.5,453.149994,454.600006,400.065186,348310
2014-01-03,453.924988,461,446.524994,458.424988,403.431335,64392
2014-01-06,459.975006,459.975006,448.149994,454.450012,399.933228,234382
2014-01-07,453,457.450012,449,451.924988,397.711151,225032
2014-01-08,450.5,457,450.5,453.475006,399.075195,53724
2014-01-09,453.549988,455,447.5,448.774994,394.939026,69824
2014-01-10,449,457.5,447,448.024994,394.278931,205446
2014-01-13,448.25,455,447,449.325012,395.422974,281088
2014-01-14,453.5,455.5,450.225006,452.524994,398.239136,75610
2014-01-15,453,457.924988,447.5,453.575012,399.163147,271908
2014-01-16,457,457.350006,451.5,455.450012,400.813293,80550
2014-01-17,451.125,455.5,447.5,448.375,394.586975,30736
